dialog_act,utterance
inform,i dont care
request,ah whats the phone number
inform,hello chinese type of food
request,what part of town is it located
affirm,yes im looking for english food
inform,asian food
thankyou,thank you good bye
thankyou,thank you good bye
negate,no there is no such venue how about portuguese food
affirm,ah yes
inform,steak house
request,phone number
thankyou,thank you good bye
thankyou,thank you good bye
affirm,yeah im looking for a restaurant in the south part of town that serves international food
request,may i have the address and phone number please
thankyou,thank you good bye
inform,i dont care
thankyou,thank you good bye
thankyou,thank you good bye
inform,italian food please
inform,chinese
inform,traditional
request,may i get the phone number
reqalts,okay and what about spanish
thankyou,thank you good bye
request,what is the price range
inform,spanish food
affirm,yes
request,address
null,unintelligible
inform,cheap restaurant east part of town
request,type of food
inform,east part of town
affirm,yes
request,where is it
null,sil
thankyou,thank you goodbye
null,noise
inform,dont care
inform,any
request,what is the address and price range
inform,south part of town
request,what type of food
inform,west part of town moderately priced
reqalts,is there anything else
request,type of food
negate,no
negate,no im sorry it should be expensive
request,can i get the address and phone number
inform,i dont care
request,phone number
request,phone number
request,post code
request,its a type of food
inform,welch food
thankyou,um thank you good bye
request,what type of food does it serve
inform,japanese food
request,type of food
inform,i want to find indian food then
inform,cheap restaurant
confirm,okay is it in the west part of town
inform,doesnt matter
inform,a moderately priced restaurant that serves
thankyou,thank you good bye
thankyou,thank you and good bye
inform,dont care
inform,i dont care
inform,breath im looking for a restaurant in the east part of tow
inform,restaurant north
inform,italian
request,the address and phone number
inform,swiss food
null,sil
inform,bistro food
inform,indian
inform,west part of town
confirm,is that a cheap restaurant
inform,moderate
thankyou,thank you good bye
request,what is the address
inform,polish food
reqalts,how about korean
affirm,yes
inform,cuban food
request,what is the phone number
thankyou,okay thank you good bye
request,what is the phone number
inform,south
request,whats the address
thankyou,thank you good bye
thankyou,thank you good bye
inform,in the south part of town
thankyou,thank you good bye
affirm,right
request,okay and whats the post code
request,what about the area
thankyou,thank you good bye
request,what is the post code
request,okay whats the address
request,whats the address
reqalts,what about italian food
thankyou,thank you good bye
request,whats their address and phone number
inform,do you have prezzo
inform,moderately priced
inform,moderately
request,whats the type of food they serve
thankyou,thank you good bye
inform,asian
thankyou,thank you
request,address
inform,i dont care
request,price range
request,whats your address
inform,yea im looking for some spanish food
thankyou,thank you good bye
reqalts,how about mediterranean food
request,price range
request,phone number
thankyou,thank you goodbye
negate,no im looking for one that serves vietnamese food
null,sil
inform,looking for a cheap spanish restaurant
thankyou,thank you good bye
null,system
inform,thai food
inform,thai food
inform,portuguese food
inform,modern european
request,and the price range
inform,it doesnt matter
request,and the phone number
inform,north
inform,im looking for a restaurant in the south part of town that serves vietnamese food
inform,any
request,whats the address and phone number
inform,european
inform,find a cheap restaurant
inform,any kind
reqalts,anything else
null,static
inform,im looking for a moroccan restaurant in the center of town
reqalts,how about european food
inform,uh the west part of town
null,sil
inform,yea im looking for an expensive restaurant in the south part of town
